Scenario,UserCount,Algorithm,Throughput_Mbps,Latency_ms,Energy_J,LoadBalance,QoSViolation_%,UserSatisfaction_%
ENERGY_CONSTRAINED,50,Round Robin,23.03,7.22,2053275.33,1.187,2.92,82.98
ENERGY_CONSTRAINED,50,Auction-based,1.82,0.77,2464366.99,0.104,0.38,8.81
ENERGY_CONSTRAINED,50,Cooperative Game,515.00,21.83,76293273.71,39.059,100.00,29.69
ENERGY_CONSTRAINED,50,Nash Equilibrium,3.18,1.53,2259580.02,0.212,0.44,17.63
ENERGY_CONSTRAINED,50,Stackelberg Game,1.76,0.94,2668986.40,0.117,0.86,10.65
ENERGY_CONSTRAINED,50,Nearest Neighbor,18.90,8.00,2054663.94,1.181,0.43,91.76
ENERGY_CONSTRAINED,50,Random Assignment,17.22,7.75,2052682.60,1.109,0.84,90.02
ENERGY_CONSTRAINED,50,Greedy Assignment,8.26,3.54,2053069.24,0.496,2.40,40.53
ENERGY_CONSTRAINED,50,Load Balanced,4.22,2.14,2052587.62,0.281,1.42,24.68
ENERGY_CONSTRAINED,50,Signal Strength Based,13.06,6.38,2053703.94,0.849,2.08,73.35
ENERGY_CONSTRAINED,100,Round Robin,66.56,8.00,2281527.17,3.013,2.63,92.76
ENERGY_CONSTRAINED,100,Auction-based,2.85,1.35,2737734.01,0.186,0.50,15.45
ENERGY_CONSTRAINED,100,Cooperative Game,1018.74,25.11,190265688.56,47.195,100.00,25.09
ENERGY_CONSTRAINED,100,Nash Equilibrium,33.63,7.73,2509600.32,1.561,5.81,88.11
ENERGY_CONSTRAINED,100,Stackelberg Game,43.98,8.00,2965413.67,1.673,38.25,91.78
ENERGY_CONSTRAINED,100,Nearest Neighbor,15.06,5.77,2280346.00,0.857,5.56,66.04
ENERGY_CONSTRAINED,100,Random Assignment,19.44,6.73,2280569.49,1.030,3.57,76.70
ENERGY_CONSTRAINED,100,Greedy Assignment,22.73,8.00,2281951.57,1.193,1.08,93.79
ENERGY_CONSTRAINED,100,Load Balanced,5.80,2.43,2280631.44,0.354,1.19,27.82
ENERGY_CONSTRAINED,100,Signal Strength Based,15.87,5.96,2283030.43,0.886,4.22,67.77
ENERGY_CONSTRAINED,150,Round Robin,16.70,8.00,2509541.72,1.038,0.13,94.10
ENERGY_CONSTRAINED,150,Auction-based,39.05,8.00,3011979.55,1.615,0.94,91.55
ENERGY_CONSTRAINED,150,Cooperative Game,1650.00,24.09,261147869.43,45.826,100.00,29.22
